City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Matara,LK,77.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
370,Pacific Grove,US,60.03,clear sky,36.6177,-121.9166,Lovers Point Inn
371,Gondar,ET,64.85,overcast clouds,12.6,37.4667,L Shape Hotel
374,San Pedro,PH,87.31,few clouds,14.35,121.0167,Esquivel's Garden And Resort
375,Kudahuvadhoo,MV,84.38,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
377,Namatanai,PG,85.62,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
378,Adre,TD,80.15,few clouds,13.4667,22.2,
379,Kavaratti,IN,80.58,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
382,Belmonte,BR,78.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
383,Karratha,AU,88.09,clear sky,-20.7377,116.8463,ibis Styles Karratha
385,Guerrero Negro,MX,63.28,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
386,Ta Khmau,KH,86.05,few clouds,11.4833,104.95,Takhmao Good Health Hotel
390,Kaitangata,NZ,61.54,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
392,Cururupu,BR,74.61,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
396,Tiarei,PF,78.82,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
398,Drexel Heights,US,70.45,clear sky,32.1412,-111.0284,Rincon Country West RV Resort
399,Aden,YE,81.63,clear sky,12.7794,45.0367,Sama Emirate Hotel
400,Surt,LY,67.46,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
403,Sakakah,SA,65.77,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
404,San Juan,AR,69.22,few clouds,-31.5375,-68.5364,Hotel Provincial
405,Vallenar,CL,63.43,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
407,Masakin,TN,61.0,broken clouds,35.7292,10.5808,DAR EL ANDALOUS Guest house
408,Shahrud,IR,62.24,clear sky,36.4182,54.9763,Royal Hotel
409,Dakar,SN,67.08,clear sky,14.6937,-17.4441,Novotel Dakar
411,Huarmey,PE,67.75,overcast clouds,-10.0681,-78.1522,Hotel Miramar
412,Danville,US,75.58,scattered clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
414,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
415,Ikom,NG,74.28,moderate rain,5.9667,8.7063,Reho Farm & Resort
417,Dali,CN,63.27,moderate rain,25.7,100.1833,Dali Travelling With Hostel
419,Bahadurganj,IN,80.96,clear sky,26.2667,87.8167,Usmania Cottage
424,Ouesso,CG,71.2,light rain,1.6136,16.0517,ABENIE Hotel
427,Hervey Bay,AU,75.02,light rain,-25.2986,152.8535,Shelly Bay Resort
429,Bull Savanna,JM,74.93,clear sky,17.8868,-77.5902,Big Red's
430,Banepa,NP,64.72,mist,27.6298,85.5214,Dhulikhel Lodge Resort
431,Cockburn Town,TC,77.29,clear sky,21.4612,-71.1419,Osprey Beach Hotel
432,Kawalu,ID,78.71,broken clouds,-7.3817,108.2082,West Jontor
433,Idah,NG,77.27,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
434,Los Llanos De Aridane,ES,60.55,scattered clouds,28.6585,-17.9182,Valle Aridane
438,Mabai,CN,62.38,overcast clouds,23.0128,104.4508,Yingpan Hostel
439,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
441,Tondon,GN,75.09,overcast clouds,10.3667,-13.35,
442,Bilma,NE,84.04,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
446,Mbuji-Mayi,CD,72.72,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
449,El Alto,PE,67.28,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
457,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
458,Trinidad,BO,75.83,heavy intensity rain,-14.8333,-64.9,Hotel Piesta
459,Wewak,PG,85.51,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
462,Lucapa,AO,67.39,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
464,Loreto,MX,74.59,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
467,Vila Franca Do Campo,PT,61.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
469,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
470,Serenje,ZM,60.49,overcast clouds,-13.2325,30.2352,The Kabaso's
471,Luanda,AO,76.68,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
472,Dasoguz,TM,64.35,clear sky,41.8363,59.9666,Hotel Erik
473,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
478,Inyonga,TZ,64.56,few clouds,-6.7167,32.0667,Eden Rock Lodge
482,Tabou,CI,76.66,overcast clouds,4.423,-7.3528,hotêl doufoulougou
483,Houston,US,80.29,mist,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
485,Boende,CD,70.59,moderate rain,-0.2167,20.8667,
