City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Phuket,TH,8.0,98.25,87.1,79,20,3.44,few clouds
244,Nanortalik,GL,60.1432,-45.2371,35.06,83,100,2.62,overcast clouds
245,Pulawy,PL,51.4166,21.9694,36.95,69,100,6.38,overcast clouds
246,Banjar,ID,-8.19,114.9675,84.36,68,8,1.74,clear sky
247,Port Lincoln,AU,-34.7333,135.8667,66.54,81,100,19.62,moderate rain
248,Liverpool,GB,53.4106,-2.9779,46.62,90,100,5.75,overcast clouds
249,Salta,AR,-24.7859,-65.4117,56.57,89,100,3.44,overcast clouds
250,Lasa,IT,46.6166,10.7002,49.08,85,92,1.3,overcast clouds
251,Sungaipenuh,ID,-2.0833,101.3833,69.26,86,96,0.87,overcast clouds
252,Moerai,PF,-22.4333,-151.3333,80.71,76,100,16.96,light rain
253,Kikwit,CD,-5.041,18.8162,72.79,87,100,1.05,overcast clouds
254,Beira,MZ,-19.8436,34.8389,75.0,94,28,7.47,light rain
255,Kenai,US,60.5544,-151.2583,45.03,57,0,8.05,clear sky
256,Iralaya,HN,15.0,-83.2333,78.96,81,4,11.56,clear sky
257,Nioro,GM,13.35,-15.75,76.57,42,100,8.68,overcast clouds
258,Altay,CN,47.8667,88.1167,36.9,52,0,9.13,clear sky
259,Plover,US,44.4564,-89.544,41.11,90,100,10.0,drizzle
260,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,59,20,9.06,few clouds
261,Srednekolymsk,RU,67.45,153.6833,5.18,86,99,9.13,overcast clouds
262,Kyren,RU,51.6828,102.1408,28.35,54,19,2.26,few clouds
263,Lata,PT,40.1629,-8.3327,49.12,98,100,2.04,overcast clouds
264,Vila Do Maio,CV,15.1333,-23.2167,69.84,80,16,15.12,few clouds
265,Grand Haven,US,43.0631,-86.2284,61.47,93,100,11.5,overcast clouds
266,Mount Gambier,AU,-37.8333,140.7667,67.5,36,100,7.23,overcast clouds
267,Potam,MX,27.6,-110.3833,74.79,34,58,16.42,broken clouds
268,Nema,RU,57.5067,50.5011,33.89,99,100,5.53,overcast clouds
269,Vero Beach,US,27.6386,-80.3973,77.04,76,0,12.66,clear sky
270,Nzega,RW,-2.479,29.5564,55.9,93,63,4.29,broken clouds
271,Sao Mateus Do Maranhao,BR,-4.0417,-44.475,73.76,98,100,3.02,overcast clouds
272,Khash,IR,28.2211,61.2158,63.23,12,3,1.1,clear sky
273,Vilyuysk,RU,63.7553,121.6247,30.25,95,100,8.34,light snow
274,Sumbawanga,TZ,-7.9667,31.6167,57.11,94,15,2.48,few clouds
275,Agadez,NE,19.75,10.25,81.5,8,98,11.1,overcast clouds
276,Saint-Augustin,CA,51.226,-58.6502,30.94,94,100,3.94,overcast clouds
277,Sao Filipe,CV,14.8961,-24.4956,71.38,76,75,5.46,broken clouds
